text,entity,umap_x,umap_y,tsne_x,tsne_y,type
California Environmental Quality Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_39baa8,11.004514,4.232445,10.56134,-48.59266,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Watershed Protection and Flood Prevention Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_39f3c8,9.857597,3.2459505,4.619954,-26.300013,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Putah Creek Accord,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_3aaac4,10.708608,0.20121732,-29.476185,0.7427569,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Agreement for Shared Stewardship of California's Forests and Rangelands,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_3c9130,10.977134,3.587767,4.6476192,-52.444916,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Animal Welfare Approved,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_4073a4,9.782163,3.4619014,34.03348,-16.01302,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Wildlife Crossing Structure Handbook,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_43e0d2,9.287694,3.0470111,12.318899,-16.351665,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Inyo/LA Long Term Water Agreement,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_449c31,11.856904,-0.26770157,-41.72743,-5.9607987,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Clean Water Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_46056b,10.094259,3.2101011,3.8294857,-29.6615,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Regional Conservation Investment Strategies Program,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_49cd04,8.885013,3.3959925,15.617653,-10.86192,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Navigable Waters Protection Rule,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_4bde74,9.896385,3.0407526,6.2310143,-28.57341,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Beef Quality Assurance,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_4ede44,7.777037,-1.5568488,7.489952,35.369884,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Executive Order B-52-18,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_5199fb,9.570429,4.063956,39.29703,2.6812758,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Steelhead Trout Management Tasks,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_5283b8,9.839489,2.646295,6.38333,-22.85282,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Placer County Water Agency Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_5544e0,12.305954,-0.282065,-50.784016,-17.288326,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Sacramento Valley Water Management Agreement,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_569903,11.5626335,0.0034001577,-38.247932,-9.762314,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Regional Water Management Planning Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_58061a,11.816341,-0.19115575,-42.725147,-4.5306683,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Nutria Eradication and Control Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_5c729f,9.15719,4.155967,31.46882,-18.467358,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Energy Policy Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_5e5729,9.4832535,4.4205017,33.430927,-26.926016,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Salmon Steelhead Trout and Anadromous Fisheries Program Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_61f480,9.797119,2.808567,7.2598467,-25.255507,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Certified Grassfed,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_645501,9.209454,4.467148,33.096745,-21.799307,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Emergency Wetlands Resources Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_6494fb,9.700788,3.429518,5.05416,-26.579035,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Save Open Space & Agricultural Resources,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_650f7b,8.812159,3.8253474,23.143147,-14.466948,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Guide to Wildlife Friendly Fences,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_693215,9.302109,2.8946345,11.730742,-16.225397,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Marine Mammal Protection Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_69bcfc,9.788355,3.0535681,7.517793,-27.559052,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
SCC Project Selection Criteria,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_6bd36d,7.726814,4.332297,48.82921,-4.6224427,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Executive Order on America's Supply Chains,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_6c2f01,9.781326,4.151614,15.357372,-41.07602,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Magnuson Fishery and Conservation and Management Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_6e554f,9.806811,2.925648,7.4133935,-25.392159,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
California Green Business Network,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_6fffa6,11.150665,3.9800076,5.085375,-58.157585,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
California Wetland Protocol,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_71c99f,11.126381,3.6720645,3.5748043,-50.961704,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Flood Control Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_72c26d,9.8836975,3.3076305,4.342182,-26.752022,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Executive Order N-10-23,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_754f75,9.6051655,4.0731006,39.24418,2.6353312,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Energy Independence and Security Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_75950a,9.439718,4.4402156,33.4308,-26.908964,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Klamath Hydroelectric Settlement Agreement,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_764132,10.514093,0.26428294,-18.778444,31.31428,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Safe Roads and Wildlife Protection Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_770d9f,9.728733,3.3328073,5.684241,-26.541077,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Farmland Protection Policy Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_7bd789,9.27022,4.1126184,30.235207,-18.785618,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Tackling the Climate Crisis at Home and Abroad,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_7be0cb,9.600117,5.2521033,29.075603,-31.217613,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
California Desert Native Plants Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_864823,10.8535385,3.8310163,11.3313265,-52.307167,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
California Salmonid Stream Habitat Restoration Manual,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_8c5bcf,10.885968,3.3703642,3.1690278,-47.397396,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Marin Organic Certified Agriculture,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_8f34af,9.335804,4.54773,32.23404,-22.550756,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
"Executive Order on Strengthening the Nation’s Forests, Communities, and Local Economies",https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_91015b,8.704222,3.682483,20.866192,-6.2297735,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
